Year	CAJA	habitat	anillaM	anillaH	FP	TP	NP	NPRIP	EDREALM	EDRETM	PESOM	TARSOM	EDREALH	EDRETH	PESOH	TARSOH	ACAROBOLSA	ACAROcual	NPUPAS	PUPASCUAL	TempIncub	VarTApril	MeanTApril	MinTApril	MaxTApril
1998	1H	Hiruela	NA	wz821201	19	7	NA	NA	NA	NA	NA	NA	2	2	15.08	19.49	NA	NA	NA	NA	14.4	15.6	8.3	2.6	18.2
1998	3H	Hiruela	zz650355	wz684631	17	6	6	0	5	2	11.9	19.16	5	2	16.01	19.73	2	0	NA	0	14	15.6	8.3	2.6	18.2
1998	9H	Hiruela	L076731	wz684622	13	6	4	0	2	2	12.2	18.47	5	2	15.26	19.69	60	1	NA	1	14	15.6	8.3	2.6	18.2
1998	11H	Hiruela	zz901421	wz684628	12	6	6	0	2	2	NA	19.07	5	2	15.16	19.05	9	0	NA	1	14.5	15.6	8.3	2.6	18.2
1998	15H	Hiruela	zz821018	wz862066	11	6	5	0	4	2	NA	19.75	3	2	15.2	18.51	0	0	NA	0	15	15.6	8.3	2.6	18.2
1998	17H	Hiruela	L076758	wz862075	16	6	6	0	2	2	NA	NA	3	2	15.79	19.5	20	1	NA	0	13.8	15.6	8.3	2.6	18.2
1998	19H	Hiruela	L076758	wz540972	16	6	6	0	2	2	12.7	19.29	6	2	15.11	19.41	0	0	NA	0	13.8	15.6	8.3	2.6	18.2
1998	23H	Hiruela	zz735534	wz650415	16	6	4	0	5	2	12.4	19.71	5	2	15.05	19.71	0	0	NA	0	13.8	15.6	8.3	2.6	18.2
1998	29H	Hiruela	zz862014	wz901416	19	6	5	0	2	2	11.6	19.55	2	2	13.93	19.33	3	0	NA	1	14	15.6	8.3	2.6	18.2
1998	33H	Hiruela	zz862626	wz821023	11	6	6	0	2	2	13.2	19.72	2	2	14.99	19.86	35	1	NA	0	15	15.6	8.3	2.6	18.2
1998	37H	Hiruela	NA	wz734797	20	6	0	0	NA	NA	NA	NA	4	2	15.3	20.25	NA	NA	NA	NA	NA	15.6	8.3	2.6	18.2
